Player,position,x1_goalspergame,x2_assists,x3_passingacc,x4_longballacc,x5_crossingacc,x6_interceptions,x7_ballrecov,x8_nowaythru,x9_clearance,x10_dribbsucc,x11_duelwon,x12_aerialduelwon,x13_cleansheet,x14_percentsaved,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman
prathip ekamparam,gk,25,25,67.75,53.5,25,75.96153846,82.69230769,25,45.3125,25,62.5,100,25,50.40322581,49.96605924,53.63380118,63.63298077,55.17740385,52.06850962,56.76807692,48.27831731,36.62620192,42.64182692,44.98870192,43.11370192,0,1,1,1,1,1,0,0,0,0,0
fashah iskandar,gk,25,25,91,67.75,25,44.23076923,50.24038462,25,25,25,100,100,25,25,44.39855769,53.09855769,61.87375,46.41538462,52.13461538,51.08817308,52.84355769,38.07692308,46.82692308,49.06442308,49.06442308,0,1,1,0,1,1,1,0,0,0,0
ang travis,gk,25,25,91,82,25,42.30769231,62.5,25,29.6875,25,100,100,25,55.24193548,52.39040478,59.81104994,65.66067308,48.66913462,54.11514423,53.72615385,54.73475962,39.23052885,48.21490385,49.79052885,49.79052885,1,1,1,0,1,1,1,0,0,0,0
sujuandy umayr,gk,25,25,87.25,70.75,25,42.30769231,52.40384615,25,28.125,25,100,100,25,43.14516129,48.72521402,55.91360112,62.0775,46.87634615,52.27740385,51.22423077,52.50182692,38.20048077,47.10673077,49.21048077,49.21048077,0,1,1,0,1,1,1,0,0,0,0
aizil yazid,gk,25,25,91.75,75.25,25,34.61538462,46.63461538,25,40.625,25,100,100,25,47.98387097,49.97004032,57.49133065,62.75403846,47.22942308,52.00625,50.79,53.71375,39.00625,48.5375,49.74625,49.74625,0,1,1,0,1,1,1,0,0,0,0
syukri bashir,non-gk,25,37.5,80.5,67,41.5,32.69230769,41.58653846,41.30434783,26.5625,85.75,54.25,52,0,0,26.4247847,38.6397847,52.13502508,46.94527174,51.95622701,47.74726171,54.8822847,47.59478888,49.37291388,45.80478888,55.02978888,0,0,1,0,1,0,1,0,0,0,1
kamarudin haziq,non-gk,25,25,91,70.75,62.5,54.80769231,63.94230769,67.39130435,48.4375,79.75,53.5,66.25,0,0,32.67644022,46.24144022,65.14658445,61.27916806,62.16644022,60.82913043,60.99394022,52.76970109,52.41657609,49.22970109,56.80470109,0,0,1,1,1,1,1,1,1,0,1
amy recha,non-gk,25,25,85,59.5,52,53.84615385,59.61538462,54.34782609,29.6875,62.5,46.75,34.75,0,0,25.57984323,37.65984323,54.39248746,49.62414298,51.49042015,51.22401338,52.67484323,44.31806229,43.92743729,39.67556229,45.90056229,0,0,1,0,1,1,1,0,0,0,0
daniel goh,non-gk,67.85714286,62.5,86.5,63.25,56.5,55.76923077,50.96153846,78.80434783,67.1875,85,39.25,53.5,0,0,31.58970228,44.13470228,62.73264871,63.55268932,61.33481217,62.91040731,67.15327371,65.65650591,67.85873806,63.66257734,65.52150591,0,0,1,1,1,1,1,1,1,1,1
ho wai loon,non-gk,25,37.5,85,65.5,45.25,46.15384615,40.14423077,41.30434783,35.9375,77.5,49.75,62.5,0,0,27.81699624,40.30949624,55.33406355,50.06527174,53.26690008,50.59264632,56.26699624,48.16142349,49.39579849,46.10142349,53.33892349,0,0,1,1,1,1,1,0,0,0,1
junki kenn yoshimura,non-gk,25,25,90.25,64.75,81.25,59.61538462,78.36538462,98.36956522,46.875,55,46,49.75,0,0,31.71126672,44.92376672,65.01963211,61.93396321,61.87780518,63.36407191,60.56126672,52.36075669,48.36700669,43.41325669,47.72575669,0,0,1,1,1,1,1,1,0,0,0
arshad shamim,non-gk,25,25,100,25,25,25,29.32692308,26.63043478,25,25,42.25,43.75,0,0,18.64786789,28.89786789,40.7680602,30.25238294,33.35171405,34.69208194,42.42786789,30.48164716,33.45664716,31.64414716,31.56914716,0,0,0,0,0,0,0,0,0,0,0
